PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SCIA Condizionata alternativa a PDC;variante a pdc convenzionato 268/2017 e successiva scia per opere non ultimate  PG 327997 Ddel 23/07/2018. *** Unita a variante Scia WF.15154/2019*** ;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2018-11-08T00:00:00.000+01:00;2021-11-08T00:00:00.000+01:00;VIA MENOTTI CIRO N.  14;9.21340280542;45.470083767;45.470083767, 9.21340280542
SI-SCIA;Intervento di Risanamento conservativo con Frazionamento e Cambio d'uso della  sola unità immobiliare del piano rialzato da ufficio a residenza;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2018-11-07T00:00:00.000+01:00;2021-11-07T00:00:00.000+01:00;VIA FIGINO AMBROGIO N.  12  PIANO 0 -1;9.14153128516;45.4955581776;45.4955581776, 9.14153128516
SI-SCIA;"via bocconi 12- Modifiche interne ed esterne al piano terra e 1° del Pensionato ""Bocconi"": Intervento di completamento ai sensi dell'art. 73 del R.E. di cui alla SCIA W.F. 11462/2013 e successive var. consistente nella sostituzione di una vetrata esistente con serramento + sopraluce su via Toniolo, oltre ad interventi di modifica delle porte di ingresso su via Bocconi e via Toniolo ";SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-07T00:00:00.000+01:00;2021-11-07T00:00:00.000+01:00;VIA BOCCONI FERDINAND N.  12;9.19028117687;45.4496432335;45.4496432335, 9.19028117687
SI-SCIA a sportello;Scia viale bodio n. 33 - messa in sicurezza dei giunti di dilatazione. ;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-07T00:00:00.000+01:00;2021-11-07T00:00:00.000+01:00;VIALE BODIO LUIGI N.  33;9.16835865561;45.4972735914;45.4972735914, 9.16835865561
SCIA alternativa a PDC;SCIA ALTERNATIVA AL PDC IN VARIANTE A PDC RIF. W.F. 27929/16 - in Via Donizetti, 35;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-11-07T00:00:00.000+01:00;2021-11-07T00:00:00.000+01:00;VIA DONIZETTI GAETANO N.  35;9.20495169436;45.4646364344;45.4646364344, 9.20495169436
SI-SCIA;Via Sanzio 39 - piano terra;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-07T00:00:00.000+01:00;2021-11-07T00:00:00.000+01:00;VIA SANZIO RAFFAELLO N.  39  PIANO PT;9.15068044247;45.4670571521;45.4670571521, 9.15068044247
autorizzazione;INSTALLAZIONE DI UNA PIATTAFORMA ELEVATRICE INTERNA AL VANO SCALA, IN DEROGA AL  DM 23/1989 E ALLA L.R. 6/1989.;PDC 1.1.6 Nuova costruzione [DPR 380/01 - Art.3 - c. 1 - lett. e]: interventi pertinenziali che le norme tecniche degli strumenti urbanistici -in relazione alla zonizzazione e al pregio ambientale e paesaggistico delle aree- qualifichino come interventi di nuova costruzione ovvero che comportino la realizzazione di un volume superiore al 20% del volume dell'edificio principale (Attivita' n. 17 - Tabella A - Sez. II del d.lgs. 222/2016);2018-11-07T00:00:00.000+01:00;2022-11-07T00:00:00.000+01:00;VIA MARONCELLI PIETRO N.  13  PIANO TUTTI;9.18297967063436;45.4832446789586;45.4832446789586, 9.18297967063436
SCIA;Scia per opere  di  variante in via Alserio 10- no sconto;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2018-11-07T00:00:00.000+01:00;2021-11-07T00:00:00.000+01:00;VIA ALSERIO N.  10;9.18543227617589;45.4910210550331;45.4910210550331, 9.18543227617589
SI-SCIA;OPERE DI MESSA IN SICUREZZA GRONDA EDIFICIO SITO IN VIA BRA 2 MILANO;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-06T00:00:00.000+01:00;2021-11-06T00:00:00.000+01:00;VIA BRA N.  2;9.24717968116;45.5025653391;45.5025653391, 9.24717968116
SI-SCIA;realizzazione scaletta per accesso diretto all'immobile dal giardino di  proprietà;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-06T00:00:00.000+01:00;2021-11-06T00:00:00.000+01:00;VIA ARPESANI PAOLO E N.  6  PIANO 0;9.22051346943;45.4662432285;45.4662432285, 9.22051346943
SI-SCIA a sportello;SCIA M.S. Via Bisi Albini,1;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-06T00:00:00.000+01:00;2021-11-06T00:00:00.000+01:00;VIA BISI ALBINI SOFIA N.  1;9.19747637455;45.4990711751;45.4990711751, 9.19747637455
SI-SCIA a sportello;CORSO VITTORIO EMANUE N.  24 / 28  VARIANTE SCIA RIF. W.F. 11189/18 -    opere interne di manutenzione straordinaria per la modifica;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-11-06T00:00:00.000+01:00;2021-11-06T00:00:00.000+01:00;CORSO VITTORIO EMANUE N.  24 / 28;9.19543360178;45.465341227;45.465341227, 9.19543360178
SCIA Unica alternativa a PDC;Intervento di riqualificazione dell'edificio sito in via Bigli 16 con opere di  rinforzo strutturale e restauro delle facciate;SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2018-11-06T00:00:00.000+01:00;2021-11-06T00:00:00.000+01:00;VIA BIGLI N.  16;9.19360941189;45.4690357001;45.4690357001, 9.19360941189
SI-SCIA;MANUTENZIONE STRAORDINARIA APPARTAMENTO DI CIVILE ABITAZIONE A PIANO PRIMO IN  CONDOMINIO E LOCALI DI SERVIZIO ANNESSI A PIANO TERRA;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-05T00:00:00.000+01:00;2021-11-05T00:00:00.000+01:00;VIA ZOJA LUIGI N.  30  PIANO T/1;9.10668911679;45.4768750169;45.4768750169, 9.10668911679
SI-SCIA;VIA PIMENTEL 9 - RESTAURO  RISANAMENTO CONSERVATIVO E CONSOLIDAMENTO SOLAIO LOCALE  SITO AL   SECONDO PIANO DELL' ORATORIO - VIA E. FONSECA PIMENTEL, 9 MILANO;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2018-11-05T00:00:00.000+01:00;2021-11-05T00:00:00.000+01:00;VIA FONSECA PIMENTEL N.  9;9.2233504396;45.4984416254;45.4984416254, 9.2233504396
SI-SCIA;Con la presente si sostituisce la pratica CILA Zonale PG 34584/2018 del  23/01/2018. A seguito delle demolizione delle partizioni interne (bagno esistente) e della  rimozione del massetto, si evince la necessità di rinforzare la struttura  portante della soletta esistente.  Seguiranno costruzione di tavolati interni per nuovo bagno e disimpegno,  adeguamento dell'impianto idrico, e dell'impianto elettrico secondo normativa.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-04T00:00:00.000+01:00;2021-11-04T00:00:00.000+01:00;VIA FANTONI GIOVANNI N.  24  PIANO 2;9.13476973945;45.468053769;45.468053769, 9.13476973945
comunicazione inizio attività edilizia libera;modifiche tavolati per ripristino situazione anteriore alla presentazione della  CILA per cambio di destinazione d'uso con piccole opere;CILA 8 -  Altri interventi non riconducibili all'elenco di cui agli articoli 6/10/22 del d.P.R. 6 giugno 2001 n. 380 [Attività n. 30 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222] (specificare il tipo di intervento) ..........................................................................................................................................;2018-11-04T00:00:00.000+01:00;2021-11-04T00:00:00.000+01:00;VIA DEI FONTANILI N.  5 INTERNO 5  PIANO T;9.18929804774;45.4419061473;45.4419061473, 9.18929804774
SCIA;Intervento di ristrutturazione leggera in variante a PdC, via Manzoni 5/A;Nuova costruzione - urbanizzazione primaria e secondaria - art.3.1 lettera e.2) DPR 380/2001+SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-11-04T00:00:00.000+01:00;2021-11-04T00:00:00.000+01:00;VIA MANZONI ALESSANDR N.  5 / A;9.19064994577;45.4681708879;45.4681708879, 9.19064994577
SI-SCIA;Interventi di manutenzione straordinaria in unità abitativa in Corso Sempione  102 Milano;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-04T00:00:00.000+01:00;2021-11-04T00:00:00.000+01:00;CORSO SEMPIONE N.  102  PIANO 3;9.15764536456;45.4871917217;45.4871917217, 9.15764536456
SCIA Unica;via S. Lattuada 9 - variante in corso d'opera in riferimento alla SCIA DI  COMPLETAMENTO n. 7691 del 20.03.2017, PG 133078/2017;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-11-03T00:00:00.000+01:00;2021-11-03T00:00:00.000+01:00;VIA LATTUADA SERVILIA N.  9;9.20508722325127;45.4531747107853;45.4531747107853, 9.20508722325127
comunicazione inizio attività edilizia libera;installazione di canna fumaria a servizio di locale ristorante al piano terra: manufatto e' rispettoso del decoro architettonico dell ' edificio e non pregiudica la statica dello stesso;CILA 8 -  Altri interventi non riconducibili all'elenco di cui agli articoli 6/10/22 del d.P.R. 6 giugno 2001 n. 380 [Attività n. 30 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222] (specificare il tipo di intervento) ..........................................................................................................................................;2018-11-03T00:00:00.000+01:00;2021-11-03T00:00:00.000+01:00;CORSO SAN GOTTARDO N.  49;9.17964439225;45.4468609029;45.4468609029, 9.17964439225
SI-SCIA;MODIFICA COPERTURA LOCALE TECNOLOGICO;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-11-01T00:00:00.000+01:00;2021-11-01T00:00:00.000+01:00;VIA CAVRIANA N.  32  PIANO COP.;9.24077905744;45.4648177408;45.4648177408, 9.24077905744
SI-SCIA;SCIA Via Venezuela 7 - in Variante a SCIA Progr. 25872/2017. Rialzo parapetto, compartimentazione del confine su lastrico solare, prolungamento porzione di serramenti, eliminazione del pergolato per rampicanti.;;2018-11-01T00:00:00.000+01:00;2021-11-01T00:00:00.000+01:00;VIA VENEZUELA N.  7;9.12570928883;45.4957917847;45.4957917847, 9.12570928883
SI-SCIA;Via Pietro CUSTODI n°16 -variante e cambio d'uso da laboratorio a residenza SCIA 6777/2017 pg 120038/2017 - modifica del bagno;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2018-11-01T00:00:00.000+01:00;2021-11-01T00:00:00.000+01:00;VIA CUSTODI PIETRO N.  16  PIANO T;9.18206760847;45.4502547919;45.4502547919, 9.18206760847
SI-SCIA;Variante per opere esterne a Scia N° PG 444656/2016 progr 17772/16_ Restauro e  risanamento conservativo con cambio di destinazione d'uso e frazionamento;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2018-11-01T00:00:00.000+01:00;2021-11-01T00:00:00.000+01:00;VIALE TIBALDI N.  18  PIANO T-1;9.1782957476;45.4433591558;45.4433591558, 9.1782957476
SI-SCIA;REALIZZAZIONE DI CASTELLETTO PER IMPIANTO ELEVATORE NEL CORTILE DEL FABBRICATO;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-31T00:00:00.000+01:00;2021-10-31T00:00:00.000+02:00;VIA BORSIERI PIETRO N.  27;9.18873591237993;45.488401149647;45.488401149647, 9.18873591237993
SI-SCIA;Demolizione e successiva costruzione di tavolati interni, demolizione e  costruzione di scala interna, chiusura parziale del vano sala, opere  finalizzate al frazionamento in due nuove unità immobiliari.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-31T00:00:00.000+01:00;2021-10-31T00:00:00.000+02:00;VIA MENOTTI CIRO N.  18  PIANO T;9.21338175817;45.4710275471;45.4710275471, 9.21338175817
autorizzazione;VIA BRAMANTE N.  14  PIANO T     Modifiche interne  - Demolizione di un tavolato - Chiusura di n. 1 porta;PDC 1.4 interventi assoggettati a SCIA per i quali (Art. 22 - c. 7 DPR 380/01) e' facolta' dell'avente titolo richiedere il rilascio del permesso di costruire (*). Specificare il tipo d'intervento: .........................................................................................;2018-10-31T00:00:00.000+01:00;2022-10-31T00:00:00.000+01:00;VIA BRAMANTE N.  14  PIANO T;9.17982972926;45.4798928332;45.4798928332, 9.17982972926
SI-SCIA;Interventi di mitigazione acustica da realizzarsi in copertura dell'edificio  R&S. La presente annulla e sostituisce la CILA al PG556114/2017 presentata in  data 06/12/2017 Prog. 36451/2017;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-31T00:00:00.000+01:00;2021-10-31T00:00:00.000+02:00;VIALE SARCA N.  222;9.21127895514;45.519786411;45.519786411, 9.21127895514
SI-SCIA;DIVERSA DISTRIBUZIONE CANTINE AL PIANO SEMINTERRATO: opere in variante **UNITA  SCIA (maggiori) WF  24601/2018**;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2018-10-31T00:00:00.000+01:00;2021-10-31T00:00:00.000+02:00;VIA FARNETI RODOLFO N.  11;9.2162969197;45.4794954345;45.4794954345, 9.2162969197
comunicazione inizio attività edilizia libera;CILA in sostituzione a CILA protocollata il 29/11/2017 Progr.35575/2017 PG  542550/2017 per cambio d'uso da terziario a residenziale con opere interne per  creazione di 16 unità immobiliari;CILA 2 -  Interventi di restauro e risanamento conservativo di cui all'articolo 3 - comma 1 - lettera c) del d.P.R. n. 380/2001 qualora non riguardino parti strutturali dell'edificio (Attività n. 5 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2018-10-28T00:00:00.000+02:00;2021-10-28T00:00:00.000+02:00;VIALE TEODORICO N.  21  PIANO 1;9.15291696956;45.4854592688;45.4854592688, 9.15291696956
SI-SCIA Unica;opere interne e realizzazione opere strutturali per creazione di vespaio areato  al piano interrato e realizzazione bagni addetti e clienti per attività  commerciale esistente alla data di adozione del pgt. unito a variante wf 3822/2019;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIA CARMAGNOLA N.  9  PIANO T -1;9.18686795394;45.487001841;45.487001841, 9.18686795394
SCIA alternativa a PDC;Manutenzione straordinaria pesante e cambio di destinazione d'uso;SCIA art. 23 DPR 380/01: 4 altri interventi individuati dalla legislazione regionale;2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIA CIALDINI ENRICO N.  102  PIANO T-1;9.16973106797;45.5145653176;45.5145653176, 9.16973106797
SI-SCIA;MANUTENZIONE STRAORDINARIA;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIALE MONZA N.  281  PIANO 1/2;9.22494200154;45.5140969959;45.5140969959, 9.22494200154
SCIA alternativa a PDC;cambio uso e frazionamento;SCIA art. 23 DPR 380/01: 3 interventi di nuova costruzione qualora siano in diretta esecuzione di strumenti urbanistici generali recanti precise disposizioni plano-volumetriche (Attività n. 10 - Tabella A - Sez. II del d.lgs. 222/2016);2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIA MORGHEN RAFFAELLO N.  24  PIANO t;9.16163063842;45.5054077159;45.5054077159, 9.16163063842
SI-SCIA;Manutenzione straordinaria di interni.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIA COPERNICO N.  1  PIANO 2;9.19944503689;45.4865780473;45.4865780473, 9.19944503689
SI-SCIA;Manutenzione straordinaria realizzazione di soppalchi;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIA LEONCAVALLO RUGGE N.  43  PIANO T;9.22885321509;45.4921304761;45.4921304761, 9.22885321509
SI-SCIA;NUOVA SCALA DI ACCESO AL PIANO SOTTOTETTO;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-26T00:00:00.000+02:00;2021-10-26T00:00:00.000+02:00;VIA VITTORELLI JACOPO N.  1  PIANO 5;9.2426440768;45.5064624399;45.5064624399, 9.2426440768
SI-SCIA;Opere di Manutenzione Straordinaria pesante per diversa distribuzione degli  spazi interni con opere esterne e realizzazione di nuovo vano corsa ascensore;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2018-10-25T00:00:00.000+02:00;2021-10-25T00:00:00.000+02:00;VIALE LUCANIA N.  6  PIANO PT-1;9.22453379146;45.4409771793;45.4409771793, 9.22453379146
SI-SCIA;V.LE BRENTA 32 - risanamento conservativo - opere interne per modifica partizioni Variante a precedente SCIA 6876/2016 unita a Scia a variante pratica n. 1643/2019 ;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2018-10-25T00:00:00.000+02:00;2021-10-25T00:00:00.000+02:00;VLE BRENTA N.  32  PIANO 1,2,4;9.21738187088;45.4417319456;45.4417319456, 9.21738187088
SCIA Condizionata alternativa a PDC;VIA BAROZZI N. 2 - Traslazione di SLP di locale ad uso ufficio dal piano seminterrato al 7° piano (attualmente lastrico solare) per ampliamento dell'unità residenziale, già esistente al 6° piano. Applicazione del differenziale derivante dall'art. 10 dela L.R. 38 2015 (mediante miglioramento delle prestazioni energetiche al piano 6°) con realizzazione di volume sul lastrico solare la SLP traslata dal seminterrato e dall'applicazione della L.R. 38 2015;PDC 1.3 Ristrutturazione edilizia che portino a organismo edilizio in tutto o in parte diverso dal precedente e che comportino modifiche della volumetria complessiva di edifici/prospetti o (limitatamente agli immobili compresi nelle zone A) comportino mutamenti della destinazione d'uso nonche' gli interventi che comportino modificazioni della sagoma di immobili sottoposti a vincoli ai sensi del DL 42/04 (Attivita' n. 8 - Tabella A - Sez. II del d.lgs. 222/2016);2018-10-24T00:00:00.000+02:00;2021-10-24T00:00:00.000+02:00;VIA BAROZZI MICHELE N.  2;9.20266313482;45.4700343285;45.4700343285, 9.20266313482
SI-SCIA Unica;Progetto di abbattimento delle barriere architettoniche;SCIA Art. 22 dpr 380/01: 2 interventi di restauro e risanamento conservativo (pesante) di cui all'articolo 3  comma 1  lettera c) del d.P.R. n. 380/2001 qualora riguardino le parti strutturali dell'edificio (Attività n. 6 - Tabella A - Sez. I del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera b) del d.P.R. n. 380/2001 );2018-10-24T00:00:00.000+02:00;2021-10-24T00:00:00.000+02:00;VIA VOLVINIO N.  45;9.18387117268;45.4340479456;45.4340479456, 9.18387117268
